Team,Abbreviation,Season Year,Season Team Name,Active since
San Francisco 49ers,SF,2017,San Francisco 49ers,1950
Seattle Seahawks,SEA,2017,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2017,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2017,Tennessee Titans,1960
Washington Redskins,WAS,2017,Washington Redskins,1932
Arizona Cardinals,ARI,2018,Arizona Cardinals,1920
Atlanta Falcons,ATL,2018,Atlanta Falcons,1966
Baltimore Ravens,BAL,2018,Baltimore Ravens,1996
Buffalo Bills,BUF,2018,Buffalo Bills,1960
Carolina Panthers,CAR,2018,Carolina Panthers,1995
Chicago Bears,CHI,2018,Chicago Bears,1920
Cincinnati Bengals,CIN,2018,Cincinnati Bengals,1968
Cleveland Browns,CLE,2018,Cleveland Browns,1950
Dallas Cowboys,DAL,2018,Dallas Cowboys,1960
Denver Broncos,DEN,2018,Denver Broncos,1960
Detroit Lions,DET,2018,Detroit Lions,1930
Green Bay Packers,GB,2018,Green Bay Packers,1921
Houston Texans,HOU,2018,Houston Texans,2002
Indianapolis Colts,IND,2018,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2018,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2018,Kansas City Chiefs,1960
Oakland Raiders,LV,2018,Las Vegas Raiders,1960
San Diego Chargers,LAC,2018,Los Angeles Chargers,1960
St. Louis Rams,LAR,2018,Los Angeles Rams,1937
Miami Dolphins,MIA,2018,Miami Dolphins,1966
Minnesota Vikings,MIN,2018,Minnesota Vikings,1961
New England Patriots,NE,2018,New England Patriots,1960
New Orleans Saints,NO,2018,New Orleans Saints,1967
New York Giants,NYG,2018,New York Giants,1925
New York Jets,NYJ,2018,New York Jets,1960
Philadelphia Eagles,PHI,2018,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2018,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2018,San Francisco 49ers,1950
Seattle Seahawks,SEA,2018,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2018,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2018,Tennessee Titans,1960
Washington Redskins,WAS,2018,Washington Redskins,1932
Arizona Cardinals,ARI,2019,Arizona Cardinals,1920
Atlanta Falcons,ATL,2019,Atlanta Falcons,1966
Baltimore Ravens,BAL,2019,Baltimore Ravens,1996
Buffalo Bills,BUF,2019,Buffalo Bills,1960
Carolina Panthers,CAR,2019,Carolina Panthers,1995
Chicago Bears,CHI,2019,Chicago Bears,1920
Cincinnati Bengals,CIN,2019,Cincinnati Bengals,1968
Cleveland Browns,CLE,2019,Cleveland Browns,1950
Dallas Cowboys,DAL,2019,Dallas Cowboys,1960
Denver Broncos,DEN,2019,Denver Broncos,1960
Detroit Lions,DET,2019,Detroit Lions,1930
Green Bay Packers,GB,2019,Green Bay Packers,1921
Houston Texans,HOU,2019,Houston Texans,2002
Indianapolis Colts,IND,2019,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2019,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2019,Kansas City Chiefs,1960
Oakland Raiders,LV,2019,Las Vegas Raiders,1960
San Diego Chargers,LAC,2019,Los Angeles Chargers,1960
St. Louis Rams,LAR,2019,Los Angeles Rams,1937
Miami Dolphins,MIA,2019,Miami Dolphins,1966
Minnesota Vikings,MIN,2019,Minnesota Vikings,1961
New England Patriots,NE,2019,New England Patriots,1960
New Orleans Saints,NO,2019,New Orleans Saints,1967
New York Giants,NYG,2019,New York Giants,1925
New York Jets,NYJ,2019,New York Jets,1960
Philadelphia Eagles,PHI,2019,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2019,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2019,San Francisco 49ers,1950
Seattle Seahawks,SEA,2019,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2019,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2019,Tennessee Titans,1960
Washington Redskins,WAS,2019,Washington Redskins,1932
Arizona Cardinals,ARI,2019,Arizona Cardinals,1920
Atlanta Falcons,ATL,2019,Atlanta Falcons,1966
Baltimore Ravens,BAL,2019,Baltimore Ravens,1996
Buffalo Bills,BUF,2019,Buffalo Bills,1960
Carolina Panthers,CAR,2019,Carolina Panthers,1995
Chicago Bears,CHI,2019,Chicago Bears,1920
Cincinnati Bengals,CIN,2019,Cincinnati Bengals,1968
Cleveland Browns,CLE,2019,Cleveland Browns,1950
Dallas Cowboys,DAL,2019,Dallas Cowboys,1960
Denver Broncos,DEN,2019,Denver Broncos,1960
Detroit Lions,DET,2019,Detroit Lions,1930
Green Bay Packers,GB,2019,Green Bay Packers,1921
Houston Texans,HOU,2019,Houston Texans,2002
Indianapolis Colts,IND,2019,Indianapolis Colts,1953
Jacksonville Jaguars,JAC,2019,Jacksonville Jaguars,1995
Kansas City Chiefs,KC,2019,Kansas City Chiefs,1960
Oakland Raiders,LV,2019,Las Vegas Raiders,1960
San Diego Chargers,LAC,2019,Los Angeles Chargers,1960
St. Louis Rams,LAR,2019,Los Angeles Rams,1937
Miami Dolphins,MIA,2019,Miami Dolphins,1966
Minnesota Vikings,MIN,2019,Minnesota Vikings,1961
New England Patriots,NE,2019,New England Patriots,1960
New Orleans Saints,NO,2019,New Orleans Saints,1967
New York Giants,NYG,2019,New York Giants,1925
New York Jets,NYJ,2019,New York Jets,1960
Philadelphia Eagles,PHI,2019,Philadelphia Eagles,1933
Pittsburgh Steelers,PIT,2019,Pittsburgh Steelers,1933
San Francisco 49ers,SF,2019,San Francisco 49ers,1950
Seattle Seahawks,SEA,2019,Seattle Seahawks,1976
Tampa Bay Buccaneers,TB,2019,Tampa Bay Buccaneers,1976
Tennessee Titans,TEN,2019,Tennessee Titans,1960
Washington Redskins,WAS,2020,Washington Football Team,1932
